DATE_ID,FULL_DATE,DAY_VALUE,WEEKDAY_NAME,IS_WEEKDAY,MONTH_VALUE,MONTH_NAME,FIRST_DAY_OF_MONTH,LAST_DAY_OF_MONTH,QUARTER_VALUE,FIRST_DAY_OF_QUARTER,LAST_DAY_OF_QUARTER,FIRST_DAY_OF_YEAR,LAST_DAY_OF_YEAR
20190814,2019-08-14,14,Wednesday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190815,2019-08-15,15,Thursday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190816,2019-08-16,16,Friday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190817,2019-08-17,17,Saturday,0,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190818,2019-08-18,18,Sunday,0,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190819,2019-08-19,19,Monday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190820,2019-08-20,20,Tuesday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190821,2019-08-21,21,Wednesday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190822,2019-08-22,22,Thursday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190823,2019-08-23,23,Friday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190824,2019-08-24,24,Saturday,0,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190825,2019-08-25,25,Sunday,0,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190826,2019-08-26,26,Monday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190827,2019-08-27,27,Tuesday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190828,2019-08-28,28,Wednesday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190829,2019-08-29,29,Thursday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190830,2019-08-30,30,Friday,1,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190831,2019-08-31,31,Saturday,0,8,August,20190801,20190831,3,20190701,20190930,20190101,20191231
20190901,2019-09-01,1,Sunday,0,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190902,2019-09-02,2,Monday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190903,2019-09-03,3,Tuesday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190904,2019-09-04,4,Wednesday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190905,2019-09-05,5,Thursday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190906,2019-09-06,6,Friday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190907,2019-09-07,7,Saturday,0,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190908,2019-09-08,8,Sunday,0,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190909,2019-09-09,9,Monday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190910,2019-09-10,10,Tuesday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190911,2019-09-11,11,Wednesday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190912,2019-09-12,12,Thursday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190913,2019-09-13,13,Friday,1,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190914,2019-09-14,14,Saturday,0,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
20190915,2019-09-15,15,Sunday,0,9,September,20190901,20190930,3,20190701,20190930,20190101,20191231
